"","batch","plate_well","count","run_no","contrast"
"210",1,"708 I08,710 K16,712 P16",15,71,"RC_to_SA"
"211",2,"700 O24,702 J24,704 J16",46,71,"RC_to_SA"
"212",3,"612 P08,614 K08,618 N16",15,71,"RC_to_SA"
"213",1,"708 N16,710 M16,712 P16",5,72,"RC_to_SA"
"214",2,"700 L24,702 I16,704 N16",39,72,"RC_to_SA"
"215",3,"612 K08,614 I08,618 K08",18,72,"RC_to_SA"
"216",1,"708 N24,710 J08,712 I24",20,73,"RC_to_SA"
"217",2,"700 I16,702 K24,704 L08",21,73,"RC_to_SA"
"218",3,"612 J08,614 I24,618 K08",101,73,"RC_to_SA"
"219",1,"708 I08,710 J08,712 M16",16,74,"RC_to_SA"
"220",2,"700 O24,702 I24,704 P08",9,74,"RC_to_SA"
"221",3,"612 N16,614 I08,618 N16",4,74,"RC_to_SA"
"222",1,"708 K08,710 J08,712 K08",48,75,"RC_to_SA"
"223",2,"700 N16,702 O24,704 N08",11,75,"RC_to_SA"
"224",3,"612 K08,614 L08,618 N24",78,75,"RC_to_SA"
"225",1,"708 P08,710 N24,712 L16",35,76,"RC_to_SA"
"226",2,"700 O24,702 I24,704 O24",108,76,"RC_to_SA"
"227",3,"612 M08,614 J16,618 I08",5,76,"RC_to_SA"
"228",1,"708 O08,710 J08,712 L24",55,77,"RC_to_SA"
"229",2,"700 N08,702 I08,704 N16",9,77,"RC_to_SA"
"230",3,"612 N24,614 K24,618 K24",255,77,"RC_to_SA"
"231",1,"708 P16,710 K24,712 L24",162,78,"RC_to_SA"
"232",2,"700 L24,702 N08,704 O24",138,78,"RC_to_SA"
"233",3,"612 O08,614 L24,618 J08",233,78,"RC_to_SA"
"234",1,"708 L08,710 N16,712 O24",26,79,"RC_to_SA"
"235",2,"700 L24,702 N24,704 I16",54,79,"RC_to_SA"
"236",3,"612 I08,614 I16,618 L08",7,79,"RC_to_SA"
"237",1,"708 P16,710 K08,712 K24",25,80,"RC_to_SA"
"238",2,"700 J16,702 I16,704 O24",15,80,"RC_to_SA"
"239",3,"612 J08,614 I16,618 O24",30,80,"RC_to_SA"
"240",1,"708 J08,710 L08,712 P08",3,81,"RC_to_SA"
"241",2,"700 O16,702 L16,704 N16",12,81,"RC_to_SA"
"242",3,"612 J16,614 O16,618 O08",2,81,"RC_to_SA"
"243",1,"708 M16,710 N08,712 N24",8,82,"RC_to_SA"
"244",2,"700 O24,702 O08,704 P16",3,82,"RC_to_SA"
"245",3,"612 J08,614 O24,618 L08",42,82,"RC_to_SA"
"246",1,"708 O24,710 O24,712 L16",70,83,"RC_to_SA"
"247",2,"700 M16,702 J08,704 K16",11,83,"RC_to_SA"
"248",3,"612 M24,614 O08,618 N08",8,83,"RC_to_SA"
"249",1,"708 O16,710 K24,712 K08",69,84,"RC_to_SA"
"250",2,"700 J16,702 N08,704 I24",156,84,"RC_to_SA"
"251",3,"612 I16,614 K24,618 M24",81,84,"RC_to_SA"
"252",1,"708 I08,710 P24,712 J08",20,85,"RC_to_SA"
"253",2,"700 K08,702 L08,704 M16",9,85,"RC_to_SA"
"254",3,"612 J16,614 N24,618 L08",41,85,"RC_to_SA"
"255",1,"708 I24,710 O08,712 M16",17,86,"RC_to_SA"
"256",2,"700 M08,702 N24,704 L16",21,86,"RC_to_SA"
"257",3,"612 J16,614 N08,618 K08",19,86,"RC_to_SA"
"258",1,"708 L08,710 J08,712 P08",6,87,"RC_to_SA"
"259",2,"700 L08,702 M16,704 M16",11,87,"RC_to_SA"
"260",3,"612 N24,614 I08,618 L16",29,87,"RC_to_SA"
"261",1,"708 K16,710 M24,712 L16",44,88,"RC_to_SA"
"262",2,"700 L24,702 L24,704 M08",273,88,"RC_to_SA"
"263",3,"612 M08,614 I24,618 M16",27,88,"RC_to_SA"
"264",1,"708 N24,710 P08,712 N16",10,89,"RC_to_SA"
"265",2,"700 J08,702 M24,704 J24",123,89,"RC_to_SA"
"266",3,"612 L08,614 L24,618 L24",1091,89,"RC_to_SA"
"267",1,"708 M24,710 L24,712 M16",198,90,"RC_to_SA"
"268",2,"700 K08,702 M16,704 M16",13,90,"RC_to_SA"
"269",3,"612 K16,614 M16,618 M24",37,90,"RC_to_SA"
"270",2,"700 N08,702 L16,704 K24",26,91,"RC_to_SA"
"271",3,"612 N24,614 I24,618 I24",166,91,"RC_to_SA"
"272",1,"708 N16,710 P16,712 M08",6,92,"RC_to_SA"
"273",2,"700 P16,702 M08,704 N08",5,92,"RC_to_SA"
"274",3,"612 J24,614 I16,618 L16",76,92,"RC_to_SA"
"275",1,"708 O08,710 K24,712 P24",58,93,"RC_to_SA"
"276",2,"700 L24,702 K16,704 P24",138,93,"RC_to_SA"
"277",3,"612 J08,614 M24,618 O24",116,93,"RC_to_SA"
"278",1,"708 P24,710 O24,712 K24",46,94,"RC_to_SA"
"279",2,"700 M16,702 L16,704 K24",35,94,"RC_to_SA"
"280",3,"612 L16,614 L24,618 O08",253,94,"RC_to_SA"
"281",1,"708 K16,710 P08,712 O24",6,95,"RC_to_SA"
"282",2,"700 P16,702 I08,704 P16",4,95,"RC_to_SA"
"283",3,"612 J16,614 N16,618 J16",10,95,"RC_to_SA"
"284",1,"708 P24,710 K08,712 O24",10,96,"RC_to_SA"
"285",2,"700 L08,702 N08,704 K16",21,96,"RC_to_SA"
"286",3,"612 J24,614 N24,618 L08",114,96,"RC_to_SA"
"287",1,"708 M16,710 N24,712 N08",38,97,"RC_to_SA"
"288",2,"700 K16,702 P08,704 I08",5,97,"RC_to_SA"
"289",3,"612 L24,614 M16,618 L08",79,97,"RC_to_SA"
"290",1,"708 J24,710 O08,712 O24",14,98,"RC_to_SA"
"291",2,"700 M24,702 N24,704 L24",215,98,"RC_to_SA"
"292",3,"612 P16,614 J16,618 P24",23,98,"RC_to_SA"
"293",1,"708 J24,710 L08,712 N16",32,99,"RC_to_SA"
"294",2,"700 K24,702 P08,704 K08",21,99,"RC_to_SA"
"295",3,"612 J16,614 P24,618 M16",19,99,"RC_to_SA"
"296",2,"700 I16,702 K16,704 L08",19,100,"RC_to_SA"
"297",3,"612 M16,614 M08,618 I24",17,100,"RC_to_SA"
"298",1,"708 N24,710 M08,712 I08",21,101,"RC_to_SA"
"299",2,"700 O16,702 J24,704 L24",211,101,"RC_to_SA"
"300",3,"612 N08,614 I16,618 O08",6,101,"RC_to_SA"
"301",1,"708 J24,710 O24,712 N24",30,102,"RC_to_SA"
"302",2,"700 M16,702 L24,704 I08",67,102,"RC_to_SA"
"303",3,"612 K16,614 L16,618 N08",24,102,"RC_to_SA"
"304",1,"708 M16,710 O24,712 J08",21,103,"RC_to_SA"
"305",2,"700 P16,702 J24,704 M08",12,103,"RC_to_SA"
"306",3,"612 M16,614 L08,618 M24",34,103,"RC_to_SA"
"307",1,"708 I24,710 N08,712 L24",94,104,"RC_to_SA"
"308",2,"700 N08,702 L08,704 L16",17,104,"RC_to_SA"
"309",3,"612 J16,614 L24,618 L24",1038,104,"RC_to_SA"
"310",1,"708 M08,710 P08,712 J08",9,105,"RC_to_SA"
"311",2,"700 M16,702 I08,704 O16",1,105,"RC_to_SA"
"312",3,"612 I08,614 P16,618 P08",1,105,"RC_to_SA"
"313",1,"708 I08,710 O16,712 K16",18,106,"RC_to_SA"
"314",2,"700 N24,702 N16,704 P16",7,106,"RC_to_SA"
"315",3,"612 N08,614 N24,618 N08",36,106,"RC_to_SA"
"316",1,"708 O08,710 I24,712 N24",51,107,"RC_to_SA"
"317",2,"700 K08,702 L16,704 L08",9,107,"RC_to_SA"
"318",3,"612 J24,614 O16,618 L08",28,107,"RC_to_SA"
"319",1,"708 P24,710 J08,712 M24",5,108,"RC_to_SA"
"320",2,"700 N08,702 L08,704 N08",8,108,"RC_to_SA"
"321",3,"612 K24,614 M24,618 K24",238,108,"RC_to_SA"
"322",1,"708 O16,710 I24,712 M24",55,109,"RC_to_SA"
"323",2,"700 O16,702 I16,704 P08",6,109,"RC_to_SA"
"324",3,"612 O24,614 J16,618 O16",7,109,"RC_to_SA"
"325",1,"708 K24,710 L08,712 N08",45,110,"RC_to_SA"
"326",2,"700 J08,702 N08,704 I08",6,110,"RC_to_SA"
"327",3,"612 I08,614 J08,618 J16",3,110,"RC_to_SA"
"328",1,"708 J16,710 O24,712 I08",25,111,"RC_to_SA"
"329",2,"700 P24,702 L08,704 J16",36,111,"RC_to_SA"
"330",3,"612 L16,614 O16,618 O16",7,111,"RC_to_SA"
"331",1,"708 L24,710 O08,712 M08",69,112,"RC_to_SA"
"332",2,"700 J24,702 L24,704 K16",203,112,"RC_to_SA"
"333",3,"612 M08,614 N08,618 L08",12,112,"RC_to_SA"
"334",1,"708 O24,710 N16,712 M16",12,113,"RC_to_SA"
"335",2,"700 K16,702 J16,704 J08",6,113,"RC_to_SA"
"336",3,"612 P24,614 N16,618 J16",22,113,"RC_to_SA"
"337",1,"708 O08,710 O24,712 N24",4,114,"RC_to_SA"
"338",2,"700 K24,702 N16,704 K16",29,114,"RC_to_SA"
"339",3,"612 N16,614 M08,618 I08",8,114,"RC_to_SA"
"340",1,"708 O08,710 O24,712 P24",15,115,"RC_to_SA"
"341",2,"700 J08,702 O24,704 N24",30,115,"RC_to_SA"
"342",3,"612 M24,614 J08,618 J08",25,115,"RC_to_SA"
"343",1,"708 N24,710 K08,712 K16",75,116,"RC_to_SA"
"344",2,"700 P24,702 O08,704 P08",19,116,"RC_to_SA"
"345",3,"612 P16,614 J16,618 K16",3,116,"RC_to_SA"
"346",1,"708 K08,710 J24,712 K16",176,117,"RC_to_SA"
"347",2,"700 P08,702 O16,704 O08",5,117,"RC_to_SA"
"348",3,"612 P08,614 O24,618 P16",15,117,"RC_to_SA"
"349",1,"708 J16,710 N08,712 I24",7,118,"RC_to_SA"
"350",2,"700 L16,702 N24,704 O16",11,118,"RC_to_SA"
"351",3,"612 I16,614 J24,618 O08",29,118,"RC_to_SA"
"352",1,"708 K08,710 I08,712 L08",57,119,"RC_to_SA"
"353",2,"700 O16,702 N08,704 M16",11,119,"RC_to_SA"
"354",3,"612 N08,614 M08,618 J08",6,119,"RC_to_SA"
"355",1,"708 N24,710 K16,712 L16",51,120,"RC_to_SA"
"356",2,"700 I24,702 L16,704 O24",53,120,"RC_to_SA"
"357",3,"612 J08,614 N08,618 O08",5,120,"RC_to_SA"
"358",1,"708 M16,710 L08,712 K16",15,121,"RC_to_SA"
"359",2,"700 M08,702 J24,704 P08",13,121,"RC_to_SA"
"360",1,"708 O24,710 L16,712 L24",135,122,"RC_to_SA"
"361",2,"700 M16,702 I08,704 O08",3,122,"RC_to_SA"
"362",3,"612 O16,614 K16,618 L16",39,122,"RC_to_SA"
"363",1,"708 N16,710 P24,712 N24",37,123,"RC_to_SA"
"364",2,"700 K08,702 J24,704 M24",66,123,"RC_to_SA"
"365",3,"612 M16,614 K24,618 P08",9,123,"RC_to_SA"
"366",1,"708 L16,710 I08,712 N08",17,124,"RC_to_SA"
