"","batch","plate_well","count","run_no","contrast"
"118",2,"700 K16,702 J08,704 J08",9,41,"RC_to_SA"
"119",3,"612 J24,614 K08,618 L16",192,41,"RC_to_SA"
"120",1,"708 M08,710 O16,712 N08",5,42,"RC_to_SA"
"121",2,"700 L16,702 P24,704 J16",6,42,"RC_to_SA"
"122",3,"612 O16,614 N24,618 P08",22,42,"RC_to_SA"
"123",2,"700 I08,702 K08,704 K16",21,43,"RC_to_SA"
"124",3,"612 I24,614 I08,618 I08",9,43,"RC_to_SA"
"125",1,"708 P24,710 K08,712 I24",26,44,"RC_to_SA"
"126",2,"700 M08,702 K16,704 M16",7,44,"RC_to_SA"
"127",3,"612 O08,614 M16,618 L16",6,44,"RC_to_SA"
"128",1,"708 O08,710 O16,712 K08",11,45,"RC_to_SA"
"129",2,"700 N08,702 N16,704 I16",3,45,"RC_to_SA"
"130",3,"612 L08,614 J16,618 K16",10,45,"RC_to_SA"
"131",1,"708 P16,710 K16,712 N08",4,46,"RC_to_SA"
"132",2,"700 M08,702 K16,704 K08",18,46,"RC_to_SA"
"133",3,"612 I08,614 P24,618 L08",13,46,"RC_to_SA"
"134",1,"708 J08,710 K16,712 L16",29,47,"RC_to_SA"
"135",2,"700 N08,702 J08,704 P24",15,47,"RC_to_SA"
"136",3,"612 K24,614 M08,618 L08",52,47,"RC_to_SA"
"137",1,"708 J24,710 I08,712 O08",18,48,"RC_to_SA"
"138",2,"700 I08,702 O08,704 I08",4,48,"RC_to_SA"
"139",3,"612 M16,614 M08,618 O08",2,48,"RC_to_SA"
"140",1,"708 N16,710 N16,712 M16",8,49,"RC_to_SA"
"141",2,"700 N24,702 P16,704 M16",4,49,"RC_to_SA"
"142",3,"612 L08,614 P24,618 O08",10,49,"RC_to_SA"
"143",1,"708 O08,710 J08,712 I08",4,50,"RC_to_SA"
"144",2,"700 M24,702 N24,704 M16",4,50,"RC_to_SA"
"145",3,"612 M24,614 K16,618 O08",18,50,"RC_to_SA"
"146",1,"708 O08,710 M24,712 M24",28,51,"RC_to_SA"
"147",2,"700 M24,702 M24,704 J08",8,51,"RC_to_SA"
"148",3,"612 O24,614 P24,618 L16",121,51,"RC_to_SA"
"149",1,"708 J08,710 J16,712 J16",6,52,"RC_to_SA"
"150",2,"700 L16,702 M08,704 L16",7,52,"RC_to_SA"
"151",3,"612 K08,614 L16,618 O08",12,52,"RC_to_SA"
"152",1,"708 N24,710 J08,712 N08",18,53,"RC_to_SA"
"153",2,"700 P08,702 O08,704 K16",7,53,"RC_to_SA"
"154",3,"612 O08,614 N08,618 J08",4,53,"RC_to_SA"
"155",1,"708 K24,710 I16,712 J08",10,54,"RC_to_SA"
"156",2,"700 P08,702 J24,704 K08",18,54,"RC_to_SA"
"157",3,"612 J24,614 M08,618 J08",46,54,"RC_to_SA"
"158",1,"708 N24,710 N16,712 L16",27,55,"RC_to_SA"
"159",2,"700 N24,702 N16,704 O16",2,55,"RC_to_SA"
"160",3,"612 P24,614 L16,618 P16",20,55,"RC_to_SA"
"161",1,"708 I24,710 L08,712 I08",13,56,"RC_to_SA"
"162",2,"700 M16,702 K16,704 N08",3,56,"RC_to_SA"
"163",3,"612 M24,614 J16,618 I08",2,56,"RC_to_SA"
"164",1,"708 K24,710 K08,712 M08",28,57,"RC_to_SA"
"165",2,"700 M08,702 O08,704 I08",9,57,"RC_to_SA"
"166",3,"612 O16,614 L16,618 O08",4,57,"RC_to_SA"
"167",1,"708 O24,710 N16,712 M24",8,58,"RC_to_SA"
"168",2,"700 I08,702 L08,704 M16",4,58,"RC_to_SA"
"169",3,"612 N24,614 O24,618 M08",116,58,"RC_to_SA"
"170",1,"708 N16,710 I08,712 O24",2,59,"RC_to_SA"
"171",2,"700 M16,702 K16,704 I16",2,59,"RC_to_SA"
"172",3,"612 N24,614 M08,618 I16",21,59,"RC_to_SA"
"173",1,"708 O24,710 K16,712 K16",11,60,"RC_to_SA"
"174",2,"700 O16,702 M24,704 I16",9,60,"RC_to_SA"
"175",3,"612 O08,614 N24,618 I24",93,60,"RC_to_SA"
"176",1,"708 I16,710 J16,712 I24",4,61,"RC_to_SA"
"177",2,"700 K16,702 O24,704 N16",12,61,"RC_to_SA"
"178",3,"612 M08,614 O08,618 L08",1,61,"RC_to_SA"
"179",1,"708 N24,710 J16,712 I24",24,62,"RC_to_SA"
"180",2,"700 M24,702 P24,704 M16",8,62,"RC_to_SA"
"181",3,"612 K24,614 N24,618 N16",204,62,"RC_to_SA"
"182",1,"708 I24,710 P16,712 J08",4,63,"RC_to_SA"
"183",2,"700 P24,702 O08,704 J08",7,63,"RC_to_SA"
"184",3,"612 N24,614 L16,618 N08",37,63,"RC_to_SA"
"185",1,"708 K24,710 N08,712 K24",29,64,"RC_to_SA"
"186",2,"700 I08,702 N16,704 K16",11,64,"RC_to_SA"
"187",1,"708 J16,710 J16,712 N08",5,65,"RC_to_SA"
"188",2,"700 K08,702 L16,704 L08",6,65,"RC_to_SA"
"189",3,"612 P24,614 K08,618 K16",76,65,"RC_to_SA"
"190",1,"708 N24,710 K16,712 K08",59,66,"RC_to_SA"
"191",2,"700 L16,702 M24,704 O16",9,66,"RC_to_SA"
"192",3,"612 L08,614 O24,618 L16",159,66,"RC_to_SA"
"193",1,"708 J16,710 J16,712 M08",2,67,"RC_to_SA"
"194",2,"700 I08,702 K16,704 L16",3,67,"RC_to_SA"
"195",3,"612 L08,614 I08,618 I16",3,67,"RC_to_SA"
"196",1,"708 P24,710 N08,712 L16",13,68,"RC_to_SA"
"197",2,"700 O16,702 O08,704 I16",4,68,"RC_to_SA"
"198",3,"612 P24,614 N24,618 J24",253,68,"RC_to_SA"
"199",1,"708 J16,710 I08,712 N16",8,69,"RC_to_SA"
"200",2,"700 N24,702 P24,704 L08",10,69,"RC_to_SA"
"201",3,"612 O24,614 I08,618 K16",28,69,"RC_to_SA"
"202",1,"708 J08,710 N08,712 N08",14,70,"RC_to_SA"
"203",2,"700 I24,702 K24,704 J08",25,70,"RC_to_SA"
"204",3,"612 I08,614 O24,618 M08",29,70,"RC_to_SA"
"205",1,"708 K16,710 I08,712 M08",11,71,"RC_to_SA"
"206",2,"700 O08,702 N24,704 L08",7,71,"RC_to_SA"
"207",3,"612 K24,614 L16,618 M08",80,71,"RC_to_SA"
"208",1,"708 O08,710 M08,712 M24",9,72,"RC_to_SA"
"209",2,"700 M08,702 N16,704 K16",3,72,"RC_to_SA"
"210",3,"612 K08,614 K16,618 L16",65,72,"RC_to_SA"
"211",1,"708 N16,710 L08,712 K08",21,73,"RC_to_SA"
"212",2,"700 L08,702 J24,704 N16",21,73,"RC_to_SA"
"213",3,"612 I24,614 K08,618 J08",39,73,"RC_to_SA"
"214",1,"708 I16,710 J08,712 N08",1,74,"RC_to_SA"
"215",2,"700 P08,702 O24,704 P24",6,74,"RC_to_SA"
"216",3,"612 M08,614 I16,618 K16",8,74,"RC_to_SA"
"217",1,"708 M08,710 O16,712 M16",1,75,"RC_to_SA"
"218",2,"700 P08,702 J24,704 M16",4,75,"RC_to_SA"
"219",3,"612 N24,614 O08,618 J24",64,75,"RC_to_SA"
"220",1,"708 I24,710 L16,712 L16",32,76,"RC_to_SA"
"221",2,"700 I16,702 N08,704 N08",9,76,"RC_to_SA"
"222",3,"612 J16,614 K08,618 P16",6,76,"RC_to_SA"
"223",1,"708 O08,710 O16,712 I08",9,77,"RC_to_SA"
"224",2,"700 O08,702 M24,704 I08",10,77,"RC_to_SA"
"225",3,"612 N16,614 I08,618 L16",14,77,"RC_to_SA"
"226",1,"708 I08,710 J16,712 O16",3,78,"RC_to_SA"
"227",2,"700 K08,702 O24,704 M16",13,78,"RC_to_SA"
"228",1,"708 J24,710 N16,712 I16",17,79,"RC_to_SA"
"229",2,"700 L08,702 K16,704 I16",9,79,"RC_to_SA"
"230",3,"612 J24,614 N16,618 K16",128,79,"RC_to_SA"
"231",1,"708 K16,710 M24,712 N08",31,80,"RC_to_SA"
"232",2,"700 K08,702 N08,704 N08",4,80,"RC_to_SA"
"233",3,"612 K16,614 M16,618 K16",8,80,"RC_to_SA"
"234",1,"708 L16,710 K16,712 O24",18,81,"RC_to_SA"
"235",2,"700 N08,702 M08,704 N16",8,81,"RC_to_SA"
"236",3,"612 I16,614 L08,618 N08",2,81,"RC_to_SA"
"237",1,"708 M08,710 O16,712 J24",19,82,"RC_to_SA"
"238",2,"700 K16,702 O08,704 O16",1,82,"RC_to_SA"
"239",3,"612 J24,614 L08,618 P08",25,82,"RC_to_SA"
"240",1,"708 J08,710 I08,712 M24",12,83,"RC_to_SA"
"241",2,"700 K16,702 K24,704 P16",9,83,"RC_to_SA"
"242",3,"612 M08,614 J08,618 L08",6,83,"RC_to_SA"
"243",1,"708 N08,710 L08,712 L08",46,84,"RC_to_SA"
"244",2,"700 L08,702 P16,704 O16",2,84,"RC_to_SA"
"245",3,"612 K24,614 L08,618 K16",154,84,"RC_to_SA"
"246",1,"708 J16,710 K08,712 M08",21,85,"RC_to_SA"
"247",2,"700 L16,702 P16,704 K16",9,85,"RC_to_SA"
"248",3,"612 O08,614 O24,618 L08",21,85,"RC_to_SA"
"249",2,"700 M16,702 N16,704 O16",4,86,"RC_to_SA"
"250",3,"612 I24,614 K16,618 J24",312,86,"RC_to_SA"
"251",1,"708 O08,710 I08,712 M24",5,87,"RC_to_SA"
"252",2,"700 L16,702 P16,704 L16",2,87,"RC_to_SA"
"253",3,"612 J16,614 M16,618 O08",3,87,"RC_to_SA"
"254",1,"708 N08,710 O16,712 K08",15,88,"RC_to_SA"
"255",2,"700 M16,702 N24,704 J08",3,88,"RC_to_SA"
"256",3,"612 I24,614 J08,618 P08",5,88,"RC_to_SA"
"257",1,"708 O08,710 L16,712 M08",7,89,"RC_to_SA"
"258",2,"700 K08,702 I24,704 K16",6,89,"RC_to_SA"
"259",3,"612 M16,614 P24,618 I16",15,89,"RC_to_SA"
"260",1,"708 M24,710 M08,712 P24",1,90,"RC_to_SA"
"261",2,"700 P08,702 K08,704 N08",6,90,"RC_to_SA"
"262",3,"612 O16,614 J16,618 L16",27,90,"RC_to_SA"
"263",1,"708 K24,710 J16,712 I08",13,91,"RC_to_SA"
"264",2,"700 I24,702 J08,704 N08",6,91,"RC_to_SA"
"265",3,"612 J24,614 O08,618 O08",6,91,"RC_to_SA"
"266",1,"708 M24,710 N08,712 J08",6,92,"RC_to_SA"
"267",2,"700 K08,702 N08,704 M16",5,92,"RC_to_SA"
"268",1,"708 P16,710 N16,712 J08",7,93,"RC_to_SA"
"269",2,"700 M24,702 M16,704 P24",3,93,"RC_to_SA"
"270",3,"612 J16,614 J16,618 P08",2,93,"RC_to_SA"
"271",1,"708 I24,710 L16,712 K16",23,94,"RC_to_SA"
"272",2,"700 M24,702 I24,704 K16",23,94,"RC_to_SA"
"273",3,"612 O24,614 P24,618 J08",48,94,"RC_to_SA"
"274",1,"708 M08,710 J16,712 K16",14,95,"RC_to_SA"
"275",2,"700 I16,702 N08,704 P24",24,95,"RC_to_SA"
"276",3,"612 K08,614 L16,618 L16",66,95,"RC_to_SA"
"277",1,"708 N24,710 M24,712 L08",89,96,"RC_to_SA"
"278",2,"700 O08,702 M08,704 J08",3,96,"RC_to_SA"
"279",3,"612 M08,614 L16,618 P16",1,96,"RC_to_SA"
"280",2,"700 L16,702 N16,704 I16",3,97,"RC_to_SA"
"281",3,"612 I08,614 J08,618 I08",3,97,"RC_to_SA"
"282",1,"708 K24,710 J08,712 I24",15,98,"RC_to_SA"
"283",2,"700 J16,702 J08,704 P16",1,98,"RC_to_SA"
"284",3,"612 K16,614 I16,618 I16",25,98,"RC_to_SA"
"285",1,"708 N16,710 I16,712 J16",1,99,"RC_to_SA"
"286",2,"700 M16,702 O08,704 I08",1,99,"RC_to_SA"
"287",3,"612 I16,614 P24,618 I24",42,99,"RC_to_SA"
"288",1,"708 J16,710 N16,712 I24",18,100,"RC_to_SA"
